product_order_id,naver_settled_date,정산예정금액
2026050352498821,2026-05-06,66106
2026040414966971,2026-05-06,50393
2026040548354771,2026-05-06,94910
2026040548354781,2026-05-06,52413
2026040541794861,2026-05-06,54774
2026040658490351,2026-05-06,74134
2026040675096481,2026-05-06,104826
2026040677354111,2026-05-06,71773
2026040677354121,2026-05-06,52413
2026040683542641,2026-05-06,69412
2026040688195041,2026-05-06,67051
2026040688195051,2026-05-06,52413
2026040694987161,2026-05-06,50393
2026040717578571,2026-05-06,94910
2026040717578581,2026-05-06,52413
2026040721548551,2026-05-06,282423
2026040723646551,2026-05-06,70882
2026040735689201,2026-05-06,282367
2026041229567401,2026-05-06,94532
2026041229567411,2026-05-06,52035
2026041247175501,2026-05-06,142789
2026041247472721,2026-05-06,97271
2026041364275401,2026-05-06,69412
2026041419478961,2026-05-06,74187
2026041419478971,2026-05-06,4631
2026041439171981,2026-05-06,423868
2026041566343501,2026-05-06,104826
2026041642114981,2026-05-06,106714
2026041899260471,2026-05-06,122014
2026041810287941,2026-05-06,298421
2026041815440981,2026-05-06,75456
2026041829043541,2026-05-06,70923
2026041829043561,2026-05-06,109642
2026041832333371,2026-05-06,110492
2026041956439141,2026-05-06,74606
2026041956439151,2026-05-06,61479
2026041947049761,2026-05-06,66106
2026042073731901,2026-05-06,148267
2026042093513481,2026-05-06,106714
2026042020724101,2026-05-06,108603
2026042126747931,2026-05-06,151100
2026042136906251,2026-05-06,126735
2026042148320241,2026-05-06,105865
2026042148320251,2026-05-06,63368
2026042277269581,2026-05-06,64218
2026042341673601,2026-05-06,106714
2026042351086861,2026-05-06,106714
2026042525969401,2026-05-06,108603
2026042525969411,2026-05-06,9444
2026042666397831,2026-05-06,64218
2026042645909461,2026-05-06,61479
2026042645909471,2026-05-06,211728
2026042712634941,2026-05-06,64218
2026042842080861,2026-05-06,64218
2026042857837201,2026-05-06,61479
2026042857837211,2026-05-06,105864
2026042920796581,2026-05-06,83011
2026042920796591,2026-05-06,5573
2026050491342041,2026-05-06,82350
2026032753995191,2026-05-07,96799
2026032753995201,2026-05-07,47692
2026032753995211,2026-05-07,4628
2026040683651991,2026-05-07,52413
2026040683652001,2026-05-07,94910
2026040725889361,2026-05-07,50393
2026040729841111,2026-05-07,101992
2026040734270591,2026-05-07,69412
2026040745060211,2026-05-07,138823
2026040749571531,2026-05-07,138824
2026040858606711,2026-05-07,69412
2026040861500841,2026-05-07,112381
2026040875764461,2026-05-07,99632
2026040875764471,2026-05-07,52413
2026040885795721,2026-05-07,157238
2026040910066631,2026-05-07,74134
2026040930972321,2026-05-07,52413
2026040930972331,2026-05-07,67051
2026040930972341,2026-05-07,9444
2026041253163881,2026-05-07,99348
2026041244392991,2026-05-07,69412
2026041376657401,2026-05-07,226933
2026041376657411,2026-05-07,104920
2026041376852041,2026-05-07,50393
2026041383661221,2026-05-07,69412
2026041386038921,2026-05-07,69884
2026041387959661,2026-05-07,74134
2026041387959671,2026-05-07,9444
2026041428195061,2026-05-07,99400
2026041428195071,2026-05-07,52113
2026041429097721,2026-05-07,52113
2026041429097731,2026-05-07,99400
2026041430376051,2026-05-07,143013
2026041439863761,2026-05-07,74134
2026041439929471,2026-05-07,54968
2026041443287391,2026-05-07,55916
2026041444604121,2026-05-07,55718
2026041454485441,2026-05-07,74606
2026041597524101,2026-05-07,61385
2026041597524111,2026-05-07,9444
2026041597524121,2026-05-07,27387
2026041565316311,2026-05-07,55718
2026041565316331,2026-05-07,9444
2026041565316341,2026-05-07,27387
2026041574849141,2026-05-07,55718
2026041577653281,2026-05-07,55719
2026041578846561,2026-05-07,55718
2026041582953071,2026-05-07,74606
2026041582953081,2026-05-07,9444
2026041582953091,2026-05-07,4628
2026041585482891,2026-05-07,55718
2026041585642141,2026-05-07,104826
2026041585642151,2026-05-07,9444
2026041586565401,2026-05-07,55718
2026041589815771,2026-05-07,55718
2026041590441581,2026-05-07,55718
2026041615527281,2026-05-07,105864
2026041615527291,2026-05-07,63368
2026041615527301,2026-05-07,9444
2026041618903481,2026-05-07,79328
2026041635358261,2026-05-07,79328
2026041635358271,2026-05-07,9444
2026041641886801,2026-05-07,64218
2026041651733831,2026-05-07,106715
2026041763353591,2026-05-07,81008
2026041763849311,2026-05-07,77439
2026041771574591,2026-05-07,126735
2026041771574601,2026-05-07,18888
2026041771574611,2026-05-07,18888
2026041774022741,2026-05-07,64218
2026041774102961,2026-05-07,64218
2026041775552531,2026-05-07,75511
2026041776397871,2026-05-07,219283
2026041776397881,2026-05-07,103976
2026041776732961,2026-05-07,66106
2026041776732971,2026-05-07,9444
2026041777115861,2026-05-07,106714
2026041786885961,2026-05-07,75456
2026041792107181,2026-05-07,108107
2026041792107191,2026-05-07,62782
2026041817733041,2026-05-07,66106
2026041822089201,2026-05-07,106005
2026041822089211,2026-05-07,61562
2026041823363361,2026-05-07,105864
2026041823363371,2026-05-07,61479
2026041824040551,2026-05-07,149211
2026041824211791,2026-05-07,105864
2026041824211801,2026-05-07,61479
2026041828005961,2026-05-07,190102
2026041950190101,2026-05-07,66106
2026041959073111,2026-05-07,64218
2026041960376771,2026-05-07,75456
2026041960376781,2026-05-07,9444
2026041960733601,2026-05-07,64218
2026041964563211,2026-05-07,64218
2026041967194181,2026-05-07,64218
2026041941469251,2026-05-07,66106
2026041943089971,2026-05-07,75456
2026041944473601,2026-05-07,77345
2026041944557991,2026-05-07,75456
2026041945649551,2026-05-07,67507
2026041945785291,2026-05-07,147322
2026041945785301,2026-05-07,18888
2026041946905011,2026-05-07,77054
2026041949816491,2026-05-07,64218
2026042070556721,2026-05-07,64218
2026042073212281,2026-05-07,66107
2026042077101721,2026-05-07,64218
2026042077497141,2026-05-07,64218
2026042083193621,2026-05-07,64218
2026042089843391,2026-05-07,106714
2026042092531351,2026-05-07,106714
2026042094895651,2026-05-07,64218
2026042096870591,2026-05-07,77344
2026042096870601,2026-05-07,9444
2026042098049271,2026-05-07,64218
2026042014788731,2026-05-07,64218
2026042133470771,2026-05-07,151101
2026042137187771,2026-05-07,112381
2026042141892461,2026-05-07,64218
2026042149041351,2026-05-07,124846
2026042270252841,2026-05-07,147322
2026042279813461,2026-05-07,64218
2026042279852871,2026-05-07,66106
2026042289495911,2026-05-07,106714
2026042337104231,2026-05-07,296533
2026042340278961,2026-05-07,106714
2026042342729771,2026-05-07,64218
2026042345611511,2026-05-07,147322
2026042345611521,2026-05-07,9444
2026042347952621,2026-05-07,75456
2026042349424091,2026-05-07,105864
2026042349424101,2026-05-07,61480
2026042472180231,2026-05-07,296533
2026042473706931,2026-05-07,75456
2026042477182911,2026-05-07,61479
2026042478634281,2026-05-07,75456
2026042485072471,2026-05-07,112381
2026042485274491,2026-05-07,67507
2026042485274501,2026-05-07,9645
2026042493799271,2026-05-07,82161
2026042493799281,2026-05-07,9444
2026042494101231,2026-05-07,75456
2026042495197581,2026-05-07,110492
2026042496225921,2026-05-07,106715
2026042519354961,2026-05-07,110492
2026042519548451,2026-05-07,66106
2026042519548461,2026-05-07,9444
2026042524713781,2026-05-07,124846
2026042531526261,2026-05-07,106714
2026042531533721,2026-05-07,64218
2026042534265291,2026-05-07,108974
2026042534592501,2026-05-07,64218
2026042534592511,2026-05-07,9444
2026042649884041,2026-05-07,64218
2026042653125711,2026-05-07,296533
2026042656677291,2026-05-07,75456
2026042659378631,2026-05-07,147323
2026042666497661,2026-05-07,75456
2026042666497671,2026-05-07,9444
2026042644717691,2026-05-07,64218
2026042781754621,2026-05-07,61479
2026042781754631,2026-05-07,105864
2026042796797221,2026-05-07,108603
2026042719655811,2026-05-07,64219
2026042853264561,2026-05-07,66106
2026042853264571,2026-05-07,5572
2026042853438581,2026-05-07,83011
2026042863765891,2026-05-07,124846
2026042864771241,2026-05-07,64218
2026042917350791,2026-05-07,61479
2026042917350801,2026-05-07,105864
2026050348074021,2026-05-07,64123
2026050611984251,2026-05-07,64123
2026040679352511,2026-05-08,210595
2026040721328851,2026-05-08,99632
2026040721328861,2026-05-08,52413
2026040721328871,2026-05-08,9444
2026040730044301,2026-05-08,106242
2026040730044311,2026-05-08,110020
2026040739358671,2026-05-08,138823
2026040877875421,2026-05-08,54774
2026040877875431,2026-05-08,9444
2026040916987651,2026-05-08,74134
2026040918880651,2026-05-08,112381
2026041050261441,2026-05-08,107659
2026041374036901,2026-05-08,51460
2026041374036911,2026-05-08,4726
2026041380273031,2026-05-08,280856
2026041397108411,2026-05-08,107659
2026041426268941,2026-05-08,99254
2026041426268951,2026-05-08,52035
2026041428772731,2026-05-08,54968
2026041434022631,2026-05-08,52113
2026041434022641,2026-05-08,99400
2026041442746751,2026-05-08,102233
2026041442746761,2026-05-08,53057
2026041444928551,2026-05-08,219337
2026041444928561,2026-05-08,605299
2026041444928571,2026-05-08,94461
2026041447499331,2026-05-08,104826
2026041598088031,2026-05-08,105864
2026041598088041,2026-05-08,58646
2026041598088051,2026-05-08,9444
2026041598088061,2026-05-08,27387
2026041588387151,2026-05-08,219284
2026041630293301,2026-05-08,229767
2026041637509761,2026-05-08,79328
2026041637509771,2026-05-08,9444
2026041642758331,2026-05-08,106714
2026041761831111,2026-05-08,61479
2026041761831121,2026-05-08,101143
2026041761831141,2026-05-08,9444
2026041898418541,2026-05-08,64218
2026041829669431,2026-05-08,106714
2026041829669441,2026-05-08,27387
2026041961136731,2026-05-08,64218
2026041961216561,2026-05-08,103881
2026041963231871,2026-05-08,106714
2026041963231881,2026-05-08,9444
2026041938294411,2026-05-08,296533
2026041938294421,2026-05-08,27387
2026041944675021,2026-05-08,64218
2026041948130321,2026-05-08,106714
2026041948644681,2026-05-08,61479
2026041948644691,2026-05-08,105864
2026042074803031,2026-05-08,105864
2026042074803041,2026-05-08,61479
2026042084862151,2026-05-08,105864
2026042084862161,2026-05-08,61479
2026042088035681,2026-05-08,108603
2026042093202221,2026-05-08,106766
2026042093202231,2026-05-08,9450
2026042010395061,2026-05-08,105864
2026042010395071,2026-05-08,61479
2026042014397721,2026-05-08,105864
2026042014397731,2026-05-08,61479
2026042021520441,2026-05-08,108604
2026042148235021,2026-05-08,109642
2026042148235031,2026-05-08,91699
2026042149343101,2026-05-08,63368
2026042149343111,2026-05-08,105864
2026042340864061,2026-05-08,103976
2026042340864071,2026-05-08,61479
2026042345285891,2026-05-08,124846
2026042477201891,2026-05-08,75457
2026042490051551,2026-05-08,64218
2026042529489211,2026-05-08,64218
2026042529489221,2026-05-08,9444
2026042537193641,2026-05-08,108604
2026042714890221,2026-05-08,83011
2026042719232991,2026-05-08,105864
2026042719233001,2026-05-08,61479
2026042719233011,2026-05-08,9444
2026042854683821,2026-05-08,190102
2026042854683831,2026-05-08,103976
2026042854683841,2026-05-08,9444
2026042922181071,2026-05-08,105864
2026042922181081,2026-05-08,61479
2026042922181091,2026-05-08,9444
2026042986557081,2026-05-08,66106
2026043046061271,2026-05-08,103220
2026043046061281,2026-05-08,63368
2026043067548931,2026-05-08,82350
2026050199202211,2026-05-08,64179
2026050220215431,2026-05-08,82350
2026050366480541,2026-05-08,84899
2026050550956941,2026-05-08,67507
2026050569053181,2026-05-08,325997
2026040724104201,2026-05-11,101742
2026040724104211,2026-05-11,53523
2026040725543221,2026-05-11,54774
2026040728554681,2026-05-11,50393
2026040729080741,2026-05-11,52413
2026040729080751,2026-05-11,99632
2026040729080761,2026-05-11,4628
2026040869843721,2026-05-11,47691
2026040869843731,2026-05-11,94910
2026040874847111,2026-05-11,52413
2026040874847121,2026-05-11,94910
2026040879006361,2026-05-11,52413
2026040879006371,2026-05-11,94910
2026040884329921,2026-05-11,94910
2026040884329931,2026-05-11,52413
2026040910047851,2026-05-11,62802
2026040910047861,2026-05-11,106243
2026040910047871,2026-05-11,9444
2026041066196241,2026-05-11,54774
2026041079540561,2026-05-11,214561
2026041079636681,2026-05-11,55934
2026041430397081,2026-05-11,102215
2026041571032111,2026-05-11,53057
2026041571032121,2026-05-11,102233
2026041593203881,2026-05-11,108603
2026041651340741,2026-05-11,103976
2026041651340751,2026-05-11,126735
2026041788108801,2026-05-11,72623
2026041896180961,2026-05-11,147322
2026041813345911,2026-05-11,108130
2026041813345921,2026-05-11,62795
2026041820507361,2026-05-11,64218
2026041950187141,2026-05-11,64267
2026041943458181,2026-05-11,221928
2026041948157211,2026-05-11,64218
2026041948157221,2026-05-11,9444
2026042075918671,2026-05-11,61480
2026042075918681,2026-05-11,105865
2026042076628411,2026-05-11,79233
2026042079324381,2026-05-11,145622
2026042079324391,2026-05-11,107753
2026042079324401,2026-05-11,243931
2026042080305291,2026-05-11,106714
2026042091770341,2026-05-11,105864
2026042091770351,2026-05-11,61479
2026042091770361,2026-05-11,9444
2026042142069261,2026-05-11,105864
2026042142069271,2026-05-11,61479
2026042156672601,2026-05-11,64218
2026042299996481,2026-05-11,105864
2026042299996491,2026-05-11,61479
2026042288637211,2026-05-11,296533
2026042292120091,2026-05-11,75456
2026042348161871,2026-05-11,109642
2026042348161881,2026-05-11,218433
2026042348161891,2026-05-11,76589
2026042350572271,2026-05-11,64218
2026042485155181,2026-05-11,77344
2026042485155191,2026-05-11,27387
2026042487267521,2026-05-11,148706
2026042487267531,2026-05-11,111964
2026042487267541,2026-05-11,110035
2026042522877581,2026-05-11,74606
2026042522877591,2026-05-11,61479
2026042522877601,2026-05-11,18888
2026042668034271,2026-05-11,221927
2026042712761301,2026-05-11,226838
2026042716155091,2026-05-11,83011
2026042726092531,2026-05-11,64218
2026042912451521,2026-05-11,83011
2026042912451531,2026-05-11,9444
2026042914010511,2026-05-11,333673
2026050362484251,2026-05-11,105959
2026050378578851,2026-05-11,64124
2026050696121651,2026-05-11,84899
2026050619471021,2026-05-11,84094
2026050740334141,2026-05-11,105298
2026050740406931,2026-05-11,161016
2026041073984911,2026-05-11,97271
2026041073984921,2026-05-11,9444
2026041189913951,2026-05-11,70400
2026041450327471,2026-05-11,102087
2026041450327481,2026-05-11,52980
2026041455940491,2026-05-11,55718
2026041455940501,2026-05-11,9444
2026041455940511,2026-05-11,9444
2026041596554041,2026-05-11,61385
2026041598794481,2026-05-11,105864
2026041598794491,2026-05-11,58646
2026041583678001,2026-05-11,105959
2026041586107831,2026-05-11,52980
2026041586107841,2026-05-11,102087
2026041586107851,2026-05-11,4628
2026041586107861,2026-05-11,9444
2026041615953201,2026-05-11,66106
2026041621059471,2026-05-11,108603
2026041624205031,2026-05-11,153231
2026041625097761,2026-05-11,61385
2026041632423871,2026-05-11,66106
2026041632797561,2026-05-11,108603
2026041633426751,2026-05-11,67506
2026041652610361,2026-05-11,66106
2026041815640651,2026-05-11,106714
2026041952675101,2026-05-11,75456
2026041955852331,2026-05-11,75456
2026041957589811,2026-05-11,106714
2026041946322561,2026-05-11,147322
2026042080963451,2026-05-11,124846
2026042099468391,2026-05-11,64218
2026042011658671,2026-05-11,79233
2026042023839661,2026-05-11,105864
2026042023839671,2026-05-11,61479
2026042127734341,2026-05-11,77345
2026042145040561,2026-05-11,305976
2026042152858081,2026-05-11,152988
2026042350652021,2026-05-11,105865
2026042350652031,2026-05-11,61480
2026042492619681,2026-05-11,75456
2026042530810471,2026-05-11,64218
2026042530810481,2026-05-11,9444
2026042650098451,2026-05-11,75456
2026042651261341,2026-05-11,75456
2026042651261351,2026-05-11,9444
2026042661860201,2026-05-11,65578
2026042785012361,2026-05-11,105865
2026042785012371,2026-05-11,61480
2026042785012381,2026-05-11,5573
2026042785012391,2026-05-11,9445
2026042733953951,2026-05-11,64218
2026042863436891,2026-05-11,106715
2026042918485321,2026-05-11,162432
2026042922669431,2026-05-11,64218
2026042924571031,2026-05-11,65578
2026042926701751,2026-05-11,106714
2026042926701761,2026-05-11,9444
2026043038026131,2026-05-11,66106
2026050177787181,2026-05-11,64123
2026050196012191,2026-05-11,77864
2026050229209081,2026-05-11,64123
2026050352688451,2026-05-11,64123
2026050364807391,2026-05-11,103220
2026050364807401,2026-05-11,63368
2026050369671021,2026-05-11,124092
2026050484268141,2026-05-11,82350
2026050484867461,2026-05-11,103220
2026050484867471,2026-05-11,63368
2026050411328041,2026-05-11,105959
2026050414743391,2026-05-11,243837
2026050630132421,2026-05-11,60062
2026050630132431,2026-05-11,103220
2026050754156401,2026-05-11,66106
2026050754156411,2026-05-11,9444
2026041120057681,2026-05-11,50393
2026041223715451,2026-05-11,50393
2026041227046381,2026-05-11,74189
